Review Order,Critic Name,Date Reviewed,Review Sentiment
89,Keith Phipps,8-Oct,Positive
90,Chris Tilly,8-Oct,Negative
91,Gaius Bolling,8-Oct,Positive
92,Jason Gorber,8-Oct,Negative
93,Chris Bumbray,8-Oct,Positive
94,Joey Morona,8-Oct,Positive
95,Lee McCoy,8-Oct,Positive
96,Matt Hambidge,8-Oct,Negative
97,Brent Hankins,8-Oct,Negative
98,Sreeju Sudhakaran,9-Oct,Negative
99,Jeanne Kaplan,9-Oct,Positive
100,David Kaplan,9-Oct,Positive
101,Eric Goldman,9-Oct,Positive
102,Mark Dujsik,9-Oct,Positive
103,Joseph Robinson,9-Oct,Negative
104,Peter Sobczynski,9-Oct,Negative
105,Robert Denerstein,9-Oct,Negative
106,Travis Johnson,9-Oct,Negative
107,Jonathan W. Hickman,9-Oct,Positive
108,Nick Johnston,9-Oct,Negative
109,Johnny Oleksinski,9-Oct,Positive
110,Rafer Guzman,9-Oct,Negative
111,Richard Whittaker,9-Oct,Negative
112,Alissa Wilkinson,9-Oct,Positive
113,Travis Hopson,9-Oct,Positive
114,Pablo O. Scholz,9-Oct,Positive
115,Juanma FernÃ¡ndez ParÃ­s,9-Oct,Positive
116,Dominic Baez,9-Oct,Positive
117,Kyle Smith,9-Oct,Negative
118,Luis MartÃ­nez,9-Oct,Negative
119,Leigh Paatsch,9-Oct,Positive
120,Marcelo Stiletano,9-Oct,Positive
121,Martin Robinson,9-Oct,Negative
122,Nicola Austin,9-Oct,Negative
123,Eric Marchen,9-Oct,Negative
124,Kevin A. Ranson,9-Oct,Positive
125,Danny Leigh,9-Oct,Positive
126,Victor Stiff,9-Oct,Positive
127,Rodrigo Perez,9-Oct,Negative
128,Frank Swietek,9-Oct,Negative
129,Nate Adams,9-Oct,Positive
130,Richard Crouse,9-Oct,Positive
131,Jorge Rivera Rubio,9-Oct,Positive
132,Jim Schembri,9-Oct,Positive
133,Fico Cangiano,10-Oct,Positive
134,Dana Han-Klein,10-Oct,Negative
135,Don Shanahan,10-Oct,Positive
136,Patrick McDonald,10-Oct,Positive
137,Rick Romancito,10-Oct,Positive
138,Mike McGranaghan,10-Oct,Positive
139,Mark Kermode,10-Oct,Negative
140,Katie Walsh,10-Oct,Negative
141,Ayaan Paul Chowdhury,10-Oct,Positive
142,Laura Stott,10-Oct,Negative
143,Matt Rodriguez,10-Oct,Positive
144,Alan Ng,10-Oct,Negative
145,AndrÃ©s Salas,10-Oct,Positive
146,Alci Rengifo,10-Oct,Positive
147,Damond Fudge,10-Oct,Positive
148,Keith Garlington,10-Oct,Positive
149,Michael Sowell,10-Oct,Positive
150,MontiLee Stormer,10-Oct,Positive
151,Jana Monji,10-Oct,Positive
152,Micheal Compton,10-Oct,Negative
153,Collin Garbarino,10-Oct,Negative
154,Abhimanyu Mathur,10-Oct,Positive
155,Eddie Harrison,10-Oct,Positive
156,Ryan Syrek,10-Oct,Positive
157,Steven Prokopy,10-Oct,Negative
158,Allen Almachar,10-Oct,Positive
159,Pete Vonder Haar,10-Oct,Positive
160,Jackson Weaver,10-Oct,Negative
161,Kyle Logan,10-Oct,Negative
162,Awais Irfan,10-Oct,Negative
163,George M. Thomas,10-Oct,Positive
164,Mark Meszoros,10-Oct,Positive
165,Rob Thomas,10-Oct,Positive
166,Sarah Marrs,10-Oct,Positive
167,Nathalia Aryani,11-Oct,Positive
168,Ruth Maramis,11-Oct,Positive
169,Mathew DeKinder,11-Oct,Positive
170,Joshua Tyler,11-Oct,Negative
171,Oscar Goff,11-Oct,Positive
172,Doug Walker,11-Oct,Negative
173,AgustÃ­n PÃ©rez,11-Oct,Negative
174,Nagier Chambers,11-Oct,Positive
175,Rachel Wagner,11-Oct,Positive
176,Ben Wasserman,11-Oct,Negative
177,Kofi Outlaw,11-Oct,Positive
178,Sara Michelle Fetters,12-Oct,Positive
179,Sean P. Means,12-Oct,Positive
180,James Marsh,12-Oct,Negative
181,Karishma H. Nandkeolyar,12-Oct,Negative
182,Lupe Rodriguez Haas,12-Oct,Positive
183,Daniel Rester,12-Oct,Positive
184,Ian Thomas Malone,12-Oct,Negative
185,Sarah Vincent,12-Oct,Positive
186,Marta Medina,12-Oct,Negative
187,Jack Martin,12-Oct,Negative
188,Patrick Beatty,13-Oct,Positive
189,RubÃ©n Rosario,13-Oct,Negative
190,Erik Childress,13-Oct,Negative
191,Blai Morell,13-Oct,Positive
192,David Sims,13-Oct,Negative
193,Adam Nayman,13-Oct,Negative
194,Kyle Amato,13-Oct,Negative
195,James Berardinelli,13-Oct,Negative
196,Randy Meeks,13-Oct,Negative
197,Matt Lynch,13-Oct,Positive
198,Mel Campbell,14-Oct,Negative
199,Sam Adams,14-Oct,Negative
200,Jared Rasic,14-Oct,Positive
201,Kambole Campbell,14-Oct,Negative
202,Sebastian Zavala Kahn,14-Oct,Positive
203,Adam Graham,14-Oct,Negative
204,Jordan Crucchiola,14-Oct,Positive
205,Glen Weldon,14-Oct,Negative
206,Emmet Asher-Perrin,14-Oct,Negative
207,Tessa Swehla,14-Oct,Negative
208,Chris Wasser,14-Oct,Negative
209,Peter Hoskin,14-Oct,Positive
210,Sergio Burstein,14-Oct,Positive
211,Tony Baker,14-Oct,Positive
212,Brogan Luke Bouwhuis,14-Oct,Negative
213,Siddhant Adlakha,14-Oct,Negative
214,Jeffrey Harris,15-Oct,Negative
215,Tatiana King,15-Oct,Positive
216,Murjani Rawls,15-Oct,Negative
217,Colin Biggs,15-Oct,Negative
218,Rick Bentley,15-Oct,Negative
219,TK Burton,15-Oct,Negative
220,Cris Kennedy,15-Oct,Positive
221,Miles Surrey,15-Oct,Negative
222,John Lui,15-Oct,Negative
223,Nestor Bentancor,15-Oct,Positive
224,Linda Cook,16-Oct,Negative
225,Elliott Collins,16-Oct,Positive
226,Wendy Ide,16-Oct,Negative
227,Kristy Puchko,16-Oct,Negative
228,Rua Fay,17-Oct,Negative
229,Wenlei Ma,17-Oct,Negative
230,Korey Coleman,18-Oct,Positive
231,Zaki Hasan,19-Oct,Positive
232,James Kendrick,19-Oct,Positive
233,Nelson Acosta,19-Oct,Positive
234,David Nusair,19-Oct,Negative
235,Sandie Angulo Chen,21-Oct,Positive
236,Edwin Arnaudin,22-Oct,Positive
237,Candice McMillan,23-Oct,Negative
238,Nicholas Bell,23-Oct,Negative
239,Gabriela Meza,24-Oct,Negative
240,Austin Burke,24-Oct,Positive
241,Stephen Porzio,29-Oct,Positive
242,Peter Travers,30-Oct,Negative
243,JD Duran,30-Oct,Negative
244,Robert Roten,30-Oct,Positive
245,Terence Johnson,31-Oct,Positive
246,Matthew Turner,31-Oct,Positive
247,Troy Ribeiro,31-Oct,Positive
248,Diane Carson,1-Nov,Negative
249,Burt Peterson,3-Nov,Positive
250,Cate Young,4-Nov,Positive
251,Brian Lowry,4-Nov,Negative
252,DJ BenHaMeen,7-Nov,Positive
253,Tim Cogshell,10-Nov,Negative
254,Christy Lemire,10-Nov,Negative
255,Kip Mooney,11-Nov,Positive
256,Jesse Hassenger,13-Nov,Negative
257,Simon Foster,13-Nov,Positive
258,Erick Estrada,23-Nov,Negative
259,Kaitlyn Booth,25-Nov,Negative
