days_since_release,current_rating,num_reviews,final_score
3.26,60.49,21,64.47
5.21,57.95,43,64.47
2.24,80.91,53,79.52
2.53,91.18,229,95.63
6.46,57.09,25,52.29
11.29,81.96,206,86.51
11.57,20.16,156,18.86
3.68,34.86,163,40.35
12.37,53.35,29,52.29
5.34,10.84,232,11.49
0.29,58.61,38,66.36
6.91,19.55,150,18.86
8.75,39.27,52,44.26
8.45,44.08,96,40.62
4.87,25.29,124,18.86
3.59,72.47,122,72.11
13.41,45.05,205,40.26
9.22,19.27,274,25.97
9.19,18.0,353,15.64
6.67,34.16,254,39.46
5.75,38.24,158,34.72
8.93,73.79,167,72.11
8.89,25.16,266,25.97
13.79,23.88,116,15.16
3.92,84.2,70,87.52
10.56,39.22,235,40.26
5.18,87.1,288,95.63
0.38,33.53,17,40.62
5.69,38.2,234,39.46
5.88,36.89,98,40.62
1.82,32.67,124,34.72
3.01,16.53,244,15.64
8.47,53.47,42,64.47
3.72,100.0,72,96.51
12.1,23.23,195,24.59
11.41,96.92,350,94.11
1.12,19.38,64,15.16
1.93,56.06,19,52.29
3.39,66.61,121,72.11
7.54,27.81,213,35.89
8.78,95.64,350,94.11
5.42,3.3,65,10.75
11.22,53.31,43,64.47
6.87,1.92,170,6.6
1.59,97.54,55,96.51
7.79,12.32,304,15.64
4.51,98.57,75,96.51
4.5,94.52,279,94.11
1.43,66.36,16,64.47
6.03,10.18,172,5.71
10.67,44.15,49,44.26
9.74,48.76,298,47.35
6.4,58.72,243,56.16
1.61,84.81,127,86.51
13.15,52.81,339,56.14
0.85,54.69,123,66.36
13.54,42.94,224,35.89
4.76,96.0,338,95.63
9.31,5.58,352,15.64
4.45,13.33,153,11.49
7.21,19.46,209,17.16
11.04,38.13,320,37.14
9.89,42.63,98,40.62
1.41,8.22,133,11.49
5.83,21.46,239,25.97
2.66,30.85,174,17.16
2.78,46.13,35,44.26
11.32,54.13,23,52.29
7.51,88.61,169,86.51
9.84,10.38,167,6.6
10.09,14.3,355,15.64
11.76,55.9,331,47.35
3.83,72.02,210,77.19
1.26,18.94,102,17.16
6.78,52.72,323,47.35
5.08,55.42,25,52.29
1.33,17.41,169,15.64
13.6,88.92,89,87.52
2.36,24.51,203,25.97
4.57,61.33,167,67.37
5.57,29.13,172,34.72
12.36,21.02,195,24.59
11.41,44.04,342,47.35
4.04,15.71,148,18.86
10.73,55.86,29,52.29
11.68,23.19,185,24.59
1.28,92.85,48,87.52
7.92,39.02,59,41.97
3.22,33.66,248,37.14
6.24,74.23,231,77.19
12.6,67.04,175,67.37
2.47,38.11,164,39.46
13.67,5.97,156,6.6
13.55,84.58,89,87.52
12.33,56.28,245,56.16
4.24,24.69,209,25.97
7.76,19.91,125,16.33
6.21,79.81,198,77.19
3.31,34.77,136,34.72
11.39,13.93,209,17.16
1.07,0.0,80,5.71
10.47,73.13,206,67.37
5.7,68.03,167,72.11
11.08,76.63,190,81.46
8.74,92.48,72,96.51
7.2,72.03,280,66.36
7.73,85.72,225,81.46
7.16,55.16,206,67.37
7.13,56.13,312,56.14
6.92,85.67,331,94.11
12.68,79.93,90,79.52
6.4,52.41,285,56.14
8.89,87.07,296,94.11
13.4,25.0,336,20.86
7.76,83.84,350,94.11
5.61,10.5,174,5.71
0.07,61.23,4,72.11
2.66,45.24,226,37.14
8.01,37.62,137,34.72
2.0,58.36,25,64.47
9.18,8.52,69,10.75
5.6,35.15,230,35.89
10.96,44.59,220,40.26
13.27,52.6,26,52.29
5.58,71.99,238,77.19
5.93,75.88,82,79.52
9.5,96.25,286,95.63
4.26,86.58,164,86.51
7.6,42.34,88,40.62
6.68,84.36,167,72.11
9.41,20.28,153,18.86
5.12,85.69,182,86.51
9.92,64.89,318,56.14
2.96,47.92,66,40.62
10.17,82.71,89,87.52
5.6,53.45,336,47.35
0.73,4.25,24,10.75
5.96,2.12,154,6.6
9.87,15.47,326,20.86
6.25,11.93,194,11.49
8.05,12.86,156,18.86
1.52,37.92,112,35.89
6.04,63.81,206,67.37
3.49,69.7,42,64.47
4.05,9.68,154,5.71
6.44,1.31,156,5.71
2.77,83.56,169,81.46
13.18,19.9,342,20.86
7.36,15.64,94,16.33
4.75,17.11,274,15.64
2.94,60.51,155,67.37
13.76,86.93,36,72.25
4.19,35.29,304,37.14
13.54,47.67,339,56.14
1.1,33.1,25,44.26
12.21,33.14,230,35.89
9.46,15.27,342,20.86
4.69,80.6,78,79.52
11.29,68.6,206,67.37
9.93,33.44,180,34.72
13.69,43.73,49,44.26
0.29,36.78,33,40.26
2.33,15.04,73,15.16
0.13,25.05,4,41.97
7.61,81.38,121,67.79
0.02,44.25,2,56.16
4.51,51.11,237,39.46
13.84,84.22,89,87.52
9.51,42.32,92,40.62
12.4,66.96,30,64.47
10.11,31.14,49,44.26
7.13,41.19,245,40.35
9.37,38.89,217,40.26
4.44,41.92,290,47.35
8.89,18.97,146,18.86
10.91,18.03,120,16.33
4.2,41.25,177,34.72
4.03,91.1,176,81.46
1.92,60.32,200,56.14
5.99,24.7,185,24.59
0.1,57.62,14,66.36
1.23,56.93,134,56.16
10.75,39.01,197,34.72
1.35,5.05,193,15.64
0.4,23.12,63,25.97
8.41,50.16,235,40.26
10.26,10.13,125,16.33
1.72,17.08,118,17.16
5.08,43.41,52,44.26
8.09,49.63,321,56.14
6.15,26.3,244,25.97
9.76,13.78,170,6.6
9.18,100.0,350,94.11
6.46,45.8,55,41.97
11.84,21.91,314,15.64
6.19,97.9,314,94.11
8.39,53.45,245,56.16
1.39,73.06,126,81.46
10.02,59.49,30,64.47
0.04,0.0,3,11.49
6.44,19.56,278,20.86
3.37,16.25,156,17.16
6.28,51.37,23,52.29
2.94,26.71,143,24.59
4.31,12.33,129,18.86
2.09,76.42,65,79.52
13.87,51.93,337,56.14
13.72,60.81,167,72.11
5.83,77.51,180,81.46
8.04,6.6,355,15.64
9.79,37.25,235,40.26
1.78,33.73,109,24.59
11.66,32.19,320,37.14
4.16,78.62,169,81.46
3.9,26.43,95,15.16
1.18,7.8,37,10.75
9.66,61.45,292,66.36
9.52,51.11,52,44.26
9.01,13.06,69,10.75
12.75,11.76,232,11.49
11.62,85.3,77,87.52
7.5,3.41,163,6.6
13.78,61.86,179,67.37
5.59,57.35,242,40.35
10.28,15.53,285,25.97
6.52,34.43,173,34.72
6.05,22.26,138,18.86
6.99,68.66,41,64.47
12.17,11.05,232,11.49
3.22,2.89,113,5.71
5.03,44.55,267,37.14
9.84,5.17,72,10.75
2.76,88.79,217,94.11
3.14,33.74,174,34.72
10.9,56.21,342,47.35
6.2,10.32,116,15.16
5.6,81.81,174,77.19
4.51,70.02,149,67.37
4.5,63.42,122,72.11
6.76,18.81,281,25.97
13.57,10.83,118,15.16
13.79,56.55,32,64.47
5.87,34.33,88,40.62
8.39,44.43,47,44.26
6.88,71.29,49,64.47
4.96,10.66,131,5.71
3.9,41.94,190,39.46
7.96,86.15,225,81.46
0.94,64.78,154,66.36
12.72,92.95,82,96.51
10.74,34.68,312,37.14
13.06,63.71,241,56.16
10.29,17.64,139,16.33
1.2,14.25,77,16.33
11.58,72.05,37,72.25
10.94,18.45,228,11.49
3.03,7.22,105,6.6
0.38,39.61,16,40.62
8.61,93.87,304,94.11
1.44,79.55,137,77.19
11.23,29.01,230,35.89
2.71,0.86,125,5.71
1.43,56.87,17,64.47
5.86,22.61,293,20.86
6.4,62.74,140,67.79
3.84,5.52,154,6.6
4.11,44.55,42,44.26
12.15,29.45,197,34.72
11.33,56.92,29,52.29
3.37,19.91,95,16.33
3.01,97.65,230,95.63
6.84,19.17,195,24.59
11.86,97.58,82,96.51
9.11,7.71,355,15.64
10.82,49.15,252,56.16
0.97,54.79,13,64.47
5.44,96.36,65,87.52
10.44,14.27,174,5.71
0.96,31.28,24,41.97
7.55,40.26,235,40.26
3.6,79.68,31,72.25
5.13,68.8,38,64.47
12.79,81.47,39,72.25
1.75,35.62,117,34.72
0.76,52.25,81,56.16
6.7,29.61,263,20.86
6.92,44.61,249,39.46
13.93,80.96,254,77.19
12.53,22.84,285,25.97
0.76,57.34,104,66.36
1.16,77.73,120,77.19
11.88,13.12,334,20.86
5.82,56.77,203,56.16
3.21,41.08,207,40.35
5.72,95.81,207,86.51
0.23,5.85,16,16.33
6.54,45.63,98,40.62
6.21,31.81,51,41.97
8.35,35.11,279,39.46
6.11,9.01,173,5.71
8.44,12.42,71,10.75
13.95,75.33,46,64.47
5.33,94.1,70,96.51
9.41,81.8,172,86.51
10.3,63.94,196,67.37
11.15,16.37,195,24.59
1.59,96.28,183,95.63
7.76,66.82,140,67.79
8.9,15.88,142,16.33
7.56,94.21,83,96.51
10.86,88.92,189,81.46
12.4,81.13,245,77.19
8.72,65.16,196,67.37
9.58,33.13,252,40.35
8.11,12.99,95,15.16
3.74,33.49,186,35.89
11.92,34.04,61,41.97
12.22,81.36,90,79.52
8.69,34.1,195,24.59
